,unit,patch
1015,28,11
1016,128,11
1017,129,11
1018,130,11
1019,131,11
1020,132,11
1021,133,11
1022,135,11
1023,136,11
1024,137,11
1025,138,11
1026,139,11
1027,142,11
1028,143,11
1029,261,11
1030,264,11
1031,58,12
1032,59,12
1033,71,12
1034,109,12
1035,120,12
1036,0,13
1037,1,13
1038,2,13
1039,49,13
1040,66,13
1041,69,13
1042,71,13
1043,80,13
1044,100,13
1045,101,13
1046,102,13
1047,103,13
1048,104,13
1049,167,13
1050,168,13
1051,181,13
1052,183,13
1053,17,14
1054,18,14
1055,30,14
1056,178,14
1057,179,14
1058,180,14
1059,319,14
1060,445,14
1061,224,15
1062,297,15
1063,318,15
1064,321,15
1065,338,15
1066,417,15
1067,420,15
